X,Y,TWT auto,Zone log,Surface_BCU,Surface_Balder Fm,Surface_Balder Tuff,Surface_Base Forties,Surface_Buchan Fm,Surface_Flounder,Surface_Fulmar Fm,Surface_Heather Fm,Surface_Hegre Gr,Surface_Hirda Fm,Surface_Horda Fm,Surface_Judy Sst,Surface_Kimm Clay Fm,Surface_Lista Fm,Surface_Mackerel Fm,Surface_Maureen Fm,Surface_Mey Sst Mb,Surface_Pentland,Surface_Plenus Marl Fm,Surface_Rodby Fm,Surface_Seabed,Surface_Sele Fm,Surface_Skagerrak Fm,Surface_Smith Bank Fm,Surface_Sola Fm,Surface_Top Chalk/Ekofisk Fm,Surface_Top Forties,Surface_Top Forties Sst,Surface_Tor Fm,Surface_Valhall Fm,Surface_Zechtein,Wells
82,429452.96,6407606.39,-2483.7,2.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22/10a-2
83,426909.76,6392021.43,-2531.06,3.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22/14a-2
85,428247.43,6396983.83,-2543.44,3.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22/9-1
86,426891.97,6404725.93,-2527.62,3.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22/9-2
87,416304.98,6404573.35,-2484.48,3.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22/8a-2
88,410673.67,6386053.83,-2636.36,3.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22/13b-3
89,431449.4,6380131.22,-2671.14,3.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22/15-1
90,432135.45,6388348.82,-2561.71,3.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22/15-2
91,408633.58,6389611.18,-2706.43,3.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22/13b-5
93,429453.66,6407606.25,-2513.73,3.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22/10a-2
94,417724.05,6385532.9,-2579.02,3.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22/14b-5
95,423270.95,6389777.35,-2619.33,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,22/14a-7
98,414063.32,6375625.34,-2661.47,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,22/13b-9
99,431449.83,6380131.3,-2689.89,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,22/15-1
101,422339.18,6379048.08,-2673.35,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,22/14b-3
102,420385.78,6381544.99,-2655.3,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,22/14b-4
103,410663.99,6386049.57,-2670.55,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,22/13b-3
105,417721.78,6385533.5,-2610.84,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,22/14b-5
106,422230.79,6386254.73,-2589.82,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,22/14-1
108,426909.76,6392021.43,-2566.56,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,22/14a-2
111,432135.59,6388348.79,-2582.68,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,22/15-2
121,426892.07,6404726.14,-2543.35,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,22/9-2
123,409673.06,6398275.38,-2542.96,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,22/8a-3
