X,Y,Z,TWT auto,MD,Type,Surface,Well,Interpreter,Used by dep.conv.,Used by geo mod,Zone log,Edited by user,Symbol,Locked to fault
423271.3,6389777.09,8811.61,2696.96,8918.0,Horizon,Lista Fm,22/14a-7,jnasseri,True,True,8.0,False,0,0
431451.58,6380131.66,9444.8,2832.99,9525.13,Horizon,Lista Fm,22/15-1,ahoward,True,True,8.0,False,0,0
414063.39,6375625.4,9220.1,2778.24,9312.05,Horizon,Lista Fm,22/13b-9,ahoward,True,True,8.0,False,0,0
410644.92,6386042.83,9277.79,2800.23,9514.0,Horizon,Lista Fm,22/13b-3,jnasseri,True,True,8.0,False,0,0
417721.24,6385533.63,9133.64,2740.54,9468.09,Horizon,Lista Fm,22/14b-5,ahoward,True,True,7.0,False,0,0
432134.47,6388348.11,8816.49,2697.52,8915.1,Horizon,Lista Fm,22/15-2,ahoward,True,True,8.0,False,0,0
426909.76,6392021.43,9103.93,2733.26,9185.93,Horizon,Lista Fm,22/14a-2,ahoward,True,True,8.0,False,0,0
434452.81,6370359.06,9628.15,2940.43,9711.0,Horizon,Lista Fm,22/20-1,jnasseri,True,True,8.0,False,0,0
428252.62,6396981.58,8645.56,2674.04,8757.0,Horizon,Lista Fm,22/9-1,jnasseri,True,True,8.0,False,0,0
426892.81,6404727.15,8746.73,2663.17,8832.0,Horizon,Lista Fm,22/9-2,jnasseri,True,True,8.0,False,0,0
416304.98,6404573.35,8818.0,2604.94,8901.0,Horizon,Lista Fm,22/8a-2,jnasseri,True,True,8.0,False,0,0
420181.35,6405011.72,9283.55,2769.66,9421.0,Horizon,Lista Fm,22/9-5,jnasseri,True,True,8.0,False,0,0
408626.8,6389619.78,9360.56,2842.25,9505.0,Horizon,Lista Fm,22/13b-5,jnasseri,True,True,8.0,False,0,0
429455.9,6407606.48,8429.08,2606.54,8507.0,Horizon,Lista Fm,22/10a-2,jnasseri,True,True,8.0,False,0,0
426909.76,6392021.43,9400.0,2787.21,9482.0,Horizon,Andrew Mb,22/14a-2,jnasseri,True,True,9.0,False,0,0
409668.39,6398275.21,9110.55,2661.38,9196.0,Horizon,Andrew Mb,22/8a-3,jnasseri,True,True,9.0,False,0,0
420181.06,6405011.71,9325.54,2777.69,9463.0,Horizon,Andrew Mb,22/9-5,jnasseri,True,True,9.0,False,0,0
420396.93,6381543.37,9352.04,2816.7,9436.0,Horizon,Andrew Mb,22/14b-4,jnasseri,True,True,9.0,False,0,0
422287.25,6379003.65,9259.33,2799.59,9594.0,Horizon,Andrew Mb,22/14b-3,jnasseri,True,True,9.0,False,0,0
424542.41,6370237.16,9476.36,2858.65,9560.0,Horizon,Mey Sst Mb,22/19-2,jnasseri,True,True,10.0,False,0,0
434452.73,6370359.16,9700.15,2955.0,9783.0,Horizon,Mey Sst Mb,22/20-1,jnasseri,True,True,10.0,False,0,0
423271.4,6389777.06,8948.61,2723.04,9055.0,Horizon,Mey Sst Mb,22/14a-7,jnasseri,True,True,10.0,False,0,0
428253.4,6396981.26,8727.52,2690.96,8839.0,Horizon,Mey Sst Mb,22/9-1,jnasseri,True,True,10.0,False,0,0
426893.14,6404727.41,8897.73,2694.56,8983.0,Horizon,Mey Sst Mb,22/9-2,jnasseri,True,True,10.0,False,0,0
416304.98,6404573.35,8864.0,2613.93,8947.0,Horizon,Mey Sst Mb,22/8a-2,jnasseri,True,True,10.0,False,0,0
410643.62,6386042.6,9346.65,2813.17,9583.0,Horizon,Mey Sst Mb,22/13b-3,jnasseri,True,True,10.0,False,0,0
431451.58,6380131.66,9447.67,2833.48,9528.0,Horizon,Mey Sst Mb,22/15-1,jnasseri,True,True,10.0,False,0,0
432134.18,6388347.91,8913.38,2714.49,9012.0,Horizon,Mey Sst Mb,22/15-2,jnasseri,True,True,10.0,False,0,0
408626.59,6389620.12,9386.53,2847.19,9531.0,Horizon,Mey Sst Mb,22/13b-5,jnasseri,True,True,10.0,False,0,0
429456.66,6407606.53,8564.05,2638.78,8642.0,Horizon,Mey Sst Mb,22/10a-2,jnasseri,True,True,10.0,False,0,0
417721.23,6385533.65,9124.55,2738.88,9459.0,Horizon,Mey Sst Mb,22/14b-5,jnasseri,True,True,10.0,False,0,0
429457.64,6407606.79,8790.03,2681.54,8868.0,Horizon,Maureen Fm,22/10a-2,jnasseri,True,True,11.0,False,0,0
409661.64,6398276.94,9814.17,2790.6,9900.0,Horizon,Maureen Fm,22/8a-3,jnasseri,True,True,11.0,False,0,0
416304.98,6404573.35,9563.0,2740.47,9646.0,Horizon,Maureen Fm,22/8a-2,jnasseri,True,True,11.0,False,0,0
426909.76,6392021.43,9662.0,2834.09,9744.0,Horizon,Maureen Fm,22/14a-2,jnasseri,True,True,11.0,False,0,0
424545.25,6370243.59,9915.76,2937.97,10000.0,Horizon,Maureen Fm,22/19-2,jnasseri,True,True,11.0,False,0,0
434451.1,6370361.34,10120.05,3030.24,10203.0,Horizon,Maureen Fm,22/20-1,jnasseri,True,True,11.0,False,0,0
423271.77,6389777.0,9559.6,2830.22,9666.0,Horizon,Maureen Fm,22/14a-7,jnasseri,True,True,11.0,False,0,0
428257.56,6396980.34,9117.26,2765.05,9229.0,Horizon,Maureen Fm,22/9-1,jnasseri,True,True,11.0,False,0,0
426894.64,6404727.6,9465.71,2791.05,9551.0,Horizon,Maureen Fm,22/9-2,jnasseri,True,True,11.0,False,0,0
420179.34,6405011.72,9579.48,2825.37,9717.0,Horizon,Maureen Fm,22/9-5,jnasseri,True,True,11.0,False,0,0
410635.64,6386041.44,9792.87,2893.55,10030.0,Horizon,Maureen Fm,22/13b-3,jnasseri,True,True,11.0,False,0,0
422230.79,6386254.73,9578.0,2817.46,9659.0,Horizon,Maureen Fm,22/14-1,jnasseri,True,True,11.0,False,0,0
420401.09,6381542.45,9636.7,2863.67,9721.0,Horizon,Maureen Fm,22/14b-4,jnasseri,True,True,11.0,False,0,0
422255.59,6378977.98,9640.54,2864.96,9998.0,Horizon,Maureen Fm,22/14b-3,jnasseri,True,True,11.0,False,0,0
414063.2,6375625.21,9591.05,2843.57,9683.0,Horizon,Maureen Fm,22/13b-9,jnasseri,True,True,11.0,False,0,0
431451.81,6380131.26,10001.66,2926.26,10082.0,Horizon,Maureen Fm,22/15-1,jnasseri,True,True,11.0,False,0,0
432132.79,6388347.03,9481.35,2818.96,9580.0,Horizon,Maureen Fm,22/15-2,jnasseri,True,True,11.0,False,0,0
408623.99,6389624.54,9730.12,2909.34,9875.0,Horizon,Maureen Fm,22/13b-5,jnasseri,True,True,11.0,False,0,0
417721.45,6385533.75,9567.53,2821.12,9902.0,Horizon,Maureen Fm,22/14b-5,jnasseri,True,True,11.0,False,0,0
409660.74,6398277.27,9932.13,2808.41,10018.0,Horizon,Top Chalk/Ekofisk Fm,22/8a-3,jnasseri,True,True,12.0,False,0,0
416304.98,6404573.35,9947.0,2805.83,10030.0,Horizon,Top Chalk/Ekofisk Fm,22/8a-2,jnasseri,True,True,12.0,False,0,0
426909.76,6392021.43,9738.0,2846.24,9820.0,Horizon,Top Chalk/Ekofisk Fm,22/14a-2,jnasseri,True,True,12.0,False,0,0
424546.56,6370247.87,10227.41,2988.29,10312.0,Horizon,Top Chalk/Ekofisk Fm,22/19-2,jnasseri,True,True,12.0,False,0,0
434448.86,6370364.82,10572.84,3106.11,10656.0,Horizon,Top Chalk/Ekofisk Fm,22/20-1,jnasseri,True,True,12.0,False,0,0
423271.72,6389777.18,9719.6,2856.7,9826.0,Horizon,Top Chalk/Ekofisk Fm,22/14a-7,jnasseri,True,True,12.0,False,0,0
428258.53,6396980.05,9202.2,2776.53,9314.0,Horizon,Top Chalk/Ekofisk Fm,22/9-1,jnasseri,True,True,12.0,False,0,0
426894.7,6404727.61,9491.71,2794.42,9577.0,Horizon,Top Chalk/Ekofisk Fm,22/9-2,jnasseri,True,True,12.0,False,0,0
420176.61,6405011.38,10117.4,2917.61,10255.0,Horizon,Top Chalk/Ekofisk Fm,22/9-5,jnasseri,True,True,12.0,False,0,0
410631.95,6386040.93,10011.53,2927.17,10249.0,Horizon,Top Chalk/Ekofisk Fm,22/13b-3,jnasseri,True,True,12.0,False,0,0
422230.79,6386254.73,9611.0,2822.68,9692.0,Horizon,Top Chalk/Ekofisk Fm,22/14-1,jnasseri,True,True,12.0,False,0,0
420403.82,6381541.85,9840.49,2888.15,9925.0,Horizon,Top Chalk/Ekofisk Fm,22/14b-4,jnasseri,True,True,12.0,False,0,0
422241.2,6378966.62,9818.65,2892.44,10186.0,Horizon,Top Chalk/Ekofisk Fm,22/14b-3,jnasseri,True,True,12.0,False,0,0
414063.17,6375625.22,9894.05,2886.79,9986.0,Horizon,Top Chalk/Ekofisk Fm,22/13b-9,jnasseri,True,True,12.0,False,0,0
431451.79,6380131.24,10024.66,2930.03,10105.0,Horizon,Top Chalk/Ekofisk Fm,22/15-1,jnasseri,True,True,12.0,False,0,0
432132.77,6388347.02,9491.35,2820.6,9590.0,Horizon,Top Chalk/Ekofisk Fm,22/15-2,jnasseri,True,True,12.0,False,0,0
408621.81,6389629.04,10080.73,2963.61,10226.0,Horizon,Top Chalk/Ekofisk Fm,22/13b-5,jnasseri,True,True,12.0,False,0,0
429458.14,6407607.17,8934.01,2700.58,9012.0,Horizon,Top Chalk/Ekofisk Fm,22/10a-2,jnasseri,True,True,12.0,False,0,0
417720.96,6385533.79,9793.52,2859.5,10128.0,Horizon,Top Chalk/Ekofisk Fm,22/14b-5,jnasseri,True,True,12.0,False,0,0
409655.32,6398275.49,11125.96,2953.25,11212.0,Horizon,Flounder,22/8a-3,jnasseri,True,True,15.0,False,0,0
420172.1,6405010.16,11282.3,3059.57,11420.0,Horizon,Flounder,22/9-5,jnasseri,True,True,15.0,False,0,0
424553.72,6370274.09,12370.52,3247.43,12457.0,Horizon,Plenus Marl Fm,22/19-2,jnasseri,True,True,16.0,False,0,0
434445.95,6370379.04,12776.2,3364.91,12860.0,Horizon,Plenus Marl Fm,22/20-1,jnasseri,True,True,16.0,False,0,0
409641.71,6398265.02,12829.93,3180.07,12917.0,Horizon,Plenus Marl Fm,22/8a-3,jnasseri,True,True,16.0,False,0,0
410599.27,6386031.56,12341.71,3233.63,12582.0,Horizon,Plenus Marl Fm,22/13b-3,jnasseri,True,True,16.0,False,0,0
422230.79,6386254.73,11796.0,3088.24,11877.0,Horizon,Plenus Marl Fm,22/14-1,jnasseri,True,True,16.0,False,0,0
408608.61,6389656.29,12319.51,3259.43,12467.0,Horizon,Plenus Marl Fm,22/13b-5,jnasseri,True,True,16.0,False,0,0
417732.76,6385535.16,11919.0,3124.52,12254.0,Horizon,Plenus Marl Fm,22/14b-5,jnasseri,True,True,16.0,False,0,0
424553.77,6370274.24,12380.51,3248.77,12467.0,Horizon,Hirda Fm,22/19-2,jnasseri,True,True,17.0,False,0,0
434445.89,6370379.11,12816.2,3369.59,12900.0,Horizon,Hirda Fm,22/20-1,jnasseri,True,True,17.0,False,0,0
423269.07,6389777.99,11730.58,3096.95,11837.0,Horizon,Hirda Fm,22/14a-7,jnasseri,True,True,17.0,False,0,0
409641.63,6398264.9,12844.92,3181.84,12932.0,Horizon,Hirda Fm,22/8a-3,jnasseri,True,True,17.0,False,0,0
420165.31,6405007.33,12869.11,3261.03,13007.0,Horizon,Hirda Fm,22/9-5,jnasseri,True,True,17.0,False,0,0
410599.23,6386031.54,12344.71,3234.0,12585.0,Horizon,Hirda Fm,22/13b-3,jnasseri,True,True,17.0,False,0,0
